Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
1242,0.7982456140350876,0.7908790422136027,0.7587506145408343,0.7914317471174517,0.7343786295005806,clean1,3,KNN,True,20
1243,0.7814692982456141,0.7749824079552565,0.740187816066957,0.7790329527763362,0.7250871080139373,clean1,3,KNN,False,20
1244,0.8004824561403507,0.7938127135089859,0.7631426884006615,0.7862445232306273,0.7436701509872241,clean1,4,KNN,True,20
1245,0.7878728070175438,0.7786844072394004,0.7386017496402217,0.7779433214727332,0.7096399535423925,clean1,4,KNN,False,20
1246,0.8108771929824561,0.8066181394069109,0.7805909251522521,0.7905382184558386,0.7730545876887339,clean1,5,KNN,True,20
1247,0.8045833333333334,0.7994752822640535,0.7712403459993823,0.7857619345424224,0.7587688734030197,clean1,5,KNN,False,20
1248,1.0,1.0,1.0,1.0,1.0,clean1,0,SVC,True,1
1249,1.0,1.0,1.0,1.0,1.0,clean1,0,SVC,False,1
1250,1.0,1.0,1.0,1.0,1.0,clean1,1,SVC,True,1
1251,1.0,1.0,1.0,1.0,1.0,clean1,1,SVC,False,1
1252,1.0,1.0,1.0,1.0,1.0,clean1,2,SVC,True,1
1253,1.0,1.0,1.0,1.0,1.0,clean1,2,SVC,False,1
1254,1.0,1.0,1.0,1.0,1.0,clean1,3,SVC,True,1
1255,1.0,1.0,1.0,1.0,1.0,clean1,3,SVC,False,1
1256,1.0,1.0,1.0,1.0,1.0,clean1,4,SVC,True,1
1257,1.0,1.0,1.0,1.0,1.0,clean1,4,SVC,False,1
1258,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,True,1
1259,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,False,1
1260,0.991578947368421,0.9913483663138518,0.9903488372093022,0.990909090909091,0.9902439024390244,clean1,0,SVC,True,5
1261,0.9979166666666668,0.9976190476190476,0.9975903614457832,1.0,0.9952380952380953,clean1,0,SVC,False,5
1262,0.9957894736842106,0.9957091237579044,0.9951219512195122,0.9951219512195122,0.9951219512195122,clean1,1,SVC,True,5
1263,0.9978947368421054,0.9975609756097562,0.9975308641975308,1.0,0.9951219512195122,clean1,1,SVC,False,5
1264,0.9978947368421054,0.998148148148148,0.9975903614457832,0.9952380952380953,1.0,clean1,2,SVC,True,5
1265,0.991578947368421,0.9914182475158084,0.990180722891566,0.9904761904761904,0.9902439024390244,clean1,2,SVC,False,5
1266,1.0,1.0,1.0,1.0,1.0,clean1,3,SVC,True,5
1267,1.0,1.0,1.0,1.0,1.0,clean1,3,SVC,False,5
1268,0.991578947368421,0.9908542063857296,0.9902380952380953,0.9952380952380953,0.9854819976771196,clean1,4,SVC,True,5
1269,0.991578947368421,0.9908310749774164,0.99,0.9948717948717948,0.9853658536585366,clean1,4,SVC,False,5
1270,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,True,5
1271,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,False,5
1272,0.9937061403508772,0.9938454627133873,0.9929391986550854,0.990909090909091,0.9952380952380953,clean1,0,SVC,True,10
1273,0.9916008771929824,0.9908542063857296,0.9902991486643742,0.9953488372093025,0.9854819976771196,clean1,0,SVC,False,10
1274,0.995811403508772,0.9957671957671956,0.9951807228915662,0.9952380952380953,0.9952380952380953,clean1,1,SVC,True,10
1275,0.9979166666666668,0.9976190476190476,0.9975903614457832,1.0,0.9952380952380953,clean1,1,SVC,False,10
1276,0.9957894736842106,0.9957671957671956,0.9951807228915662,0.9952380952380953,0.9952380952380953,clean1,2,SVC,True,10
1277,0.9936842105263156,0.9944444444444444,0.9928284566838784,0.9859357696567,1.0,clean1,2,SVC,False,10
1278,0.9978947368421054,0.998148148148148,0.9975903614457832,0.9952380952380953,1.0,clean1,3,SVC,True,10
1279,0.9937061403508772,0.9927409988385598,0.9926520898408449,1.0,0.9854819976771196,clean1,3,SVC,False,10
1280,0.991578947368421,0.9902439024390244,0.9899359274886702,1.0,0.9804878048780488,clean1,4,SVC,True,10
1281,0.9957894736842106,0.9951219512195122,0.995,1.0,0.9902439024390244,clean1,4,SVC,False,10
1282,0.9979166666666668,0.9976190476190476,0.9975903614457832,1.0,0.9952380952380953,clean1,5,SVC,True,10
1283,0.995811403508772,0.9957322551662172,0.9952374202693124,0.9953488372093025,0.9952380952380953,clean1,5,SVC,False,10
1284,1.0,1.0,1.0,1.0,1.0,clean1,0,SVC,True,20
1285,0.9937061403508772,0.9927409988385598,0.992590361445783,1.0,0.9854819976771196,clean1,0,SVC,False,20
1286,1.0,1.0,1.0,1.0,1.0,clean1,1,SVC,True,20
1287,0.9873684210526316,0.9865633301436338,0.9852380952380952,0.99010989010989,0.9806039488966318,clean1,1,SVC,False,20
1288,1.0,1.0,1.0,1.0,1.0,clean1,2,SVC,True,20
1289,0.9978947368421054,0.998148148148148,0.9975903614457832,0.9952380952380953,1.0,clean1,2,SVC,False,20
1290,1.0,1.0,1.0,1.0,1.0,clean1,3,SVC,True,20
1291,0.9979166666666668,0.998148148148148,0.9976470588235294,0.9953488372093025,1.0,clean1,3,SVC,False,20
1292,1.0,1.0,1.0,1.0,1.0,clean1,4,SVC,True,20
1293,0.9937061403508772,0.9938572719060524,0.9927690100430416,0.9904707884288144,0.9951219512195122,clean1,4,SVC,False,20
1294,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,True,20
1295,1.0,1.0,1.0,1.0,1.0,clean1,5,SVC,False,20
1296,0.9831798245614036,0.9834467989783222,0.9807795889440112,0.9763012181616834,0.9854819976771196,clean1,0,NB,True,1
1297,0.9663377192982456,0.9668237167546876,0.961882179685943,0.9534185056136276,0.9709639953542392,clean1,0,NB,False,1
