Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
126.0,twonorm,SVC,feat,-0.0114864864864864,-0.011472623511296,-0.010484024315028,-0.0135938629921062,-0.0075653732216655,,,,,
127.0,twonorm,SVC,feat,-0.0068918918918918,-0.0068860580708027,-0.0063037685393191,-0.0085000535414929,-0.0037852466810516,,,,,
128.0,twonorm,SVC,feat,-0.0125675675675676,-0.0125653895089831,-0.0121761765372612,-0.0132962920664292,-0.0110887612917383,,,,,
129.0,twonorm,SVC,feat,-0.0174324324324324,-0.0174439645937402,-0.019390209461134,-0.014041083340706,-0.0251669531507148,,,,,
130.0,twonorm,SVC,feat,-0.0102702702702701,-0.0102695481991827,-0.0100121656782663,-0.0107010365532796,-0.0091946750539443,,,,,
131.0,twonorm,SVC,feat,-0.0055405405405406,-0.005533242341518,-0.0048550438222031,-0.0065251862132219,-0.0029704129027541,,,,,
132.0,twonorm,NB,feat,-0.013108108108108,-0.0130964375045992,-0.0125119531776953,-0.014434702386137,-0.0108115422594448,,,,,
133.0,twonorm,NB,feat,-0.0077027027027025,-0.0076963222693585,-0.0068512811923476,-0.0097363266554375,-0.0037856124053687,,,,,
134.0,twonorm,NB,feat,-0.0122972972972973,-0.0122942054214756,-0.012024879740339,-0.0127059591226058,-0.0113575686647405,,,,,
135.0,twonorm,NB,feat,-0.0160810810810811,-0.0160922435696312,-0.0181162090513485,-0.0123442589879193,-0.0243524850967341,,,,,
136.0,twonorm,NB,feat,-0.0101351351351353,-0.0101322201988108,-0.0090462914256708,-0.0119719522653296,-0.0059481402918478,,,,,
137.0,twonorm,NB,feat,-0.0067567567567567,-0.0067538413268775,-0.0068656883936127,-0.0063094646698794,-0.0072991259188823,,,,,
138.0,twonorm,DT,feat,-0.0037837837837838,-0.0037810541773936,-0.0040220172403236,-0.0038554818515122,-0.0040584427458583,,,,,
139.0,twonorm,DT,feat,0.000135135135135,0.0001274717053507,-0.0035466332791747,0.0033227984485834,-0.0102731960648063,,,,,
140.0,twonorm,DT,feat,-0.0044594594594595,-0.0044707865486297,-0.0082415623637318,-0.0009464772186379,-0.015690670372673,,,,,
141.0,twonorm,DT,feat,-0.0177027027027025,-0.0177153266078556,-0.0214818210789859,-0.0144635748466207,-0.0286786380426434,,,,,
142.0,twonorm,DT,feat,-0.0124324324324323,-0.0124392052420683,-0.0153155083182041,-0.0101622102120729,-0.0205591924807081,,,,,
143.0,twonorm,DT,feat,-0.011081081081081,-0.0110721440324033,-0.0090794168504809,-0.0129758214444095,-0.005134403686501,,,,,
144.0,twonorm,RF,feat,-0.0097297297297297,-0.0097257348948824,-0.009936594911351,-0.0095702867113199,-0.0100128003510954,,,,,
145.0,twonorm,RF,feat,-0.0028378378378379,-0.0028385712606923,-0.0031097608494458,-0.002321346965511,-0.0037867095783198,,,,,
146.0,twonorm,RF,feat,-0.010945945945946,-0.0109497914803805,-0.011793999015645,-0.0097979220916873,-0.0137954869619281,,,,,
147.0,twonorm,RF,feat,-0.0129729729729728,-0.0129899727374979,-0.0150421861466081,-0.0103434880306272,-0.0200292579453607,,,,,
148.0,twonorm,RF,feat,-0.0158108108108108,-0.0158068061048617,-0.0160181574815404,-0.0163962332796095,-0.015951431810701,,,,,
149.0,twonorm,RF,feat,-0.0066216216216216,-0.0066179722753327,-0.0067203344320168,-0.0065860395155115,-0.0067552938594886,,,,,
150.0,clean1,KNN,feat,0.0147368421052631,0.0137711013228729,0.0139443745393497,0.0260729014122438,0.0051103368176539,,,,,
151.0,clean1,KNN,feat,0.0084210526315791,0.0104013421086591,0.0122495526282757,0.0016765945840944,0.0245063879210221,,,,,
152.0,clean1,KNN,feat,0.0042105263157896,0.0010818194435313,-0.0008354747628565,0.0255196129859532,-0.02404181184669,,,,,
153.0,clean1,KNN,feat,0.0294736842105264,0.0310943347528712,0.0354603701015708,0.021801368625325,0.0436701509872241,,,,,
154.0,clean1,KNN,feat,0.0,-0.0005871725383919,-0.0012746857325169,0.0014477682713707,-0.0048780487804878,,,,,
155.0,clean1,KNN,feat,-0.0105921052631577,-0.0119628339140532,-0.0172221564567961,-0.0054545278254863,-0.0239256678281067,,,,,
156.0,clean1,SVC,feat,-0.0021052631578948,-0.0029912563276576,-0.0026400499907112,0.0044397463002114,-0.0097560975609756,,,,,
157.0,clean1,SVC,feat,0.0021052631578948,0.0018518518518519,0.0024096385542169,0.0047619047619047,0.0,,,,,
158.0,clean1,SVC,feat,-0.0021052631578949,-0.0013227513227512,-0.0023522662076878,-0.0093023255813952,0.0047619047619047,,,,,
159.0,clean1,SVC,feat,-0.0041885964912281,-0.0054071493095881,-0.0049382716049383,0.0047619047619047,-0.0145180023228803,,,,,
160.0,clean1,SVC,feat,0.0042105263157895,0.0048780487804878,0.0050640725113297,0.0,0.0097560975609756,,,,,
161.0,clean1,SVC,feat,-0.0021052631578948,-0.0018867924528304,-0.0023529411764707,-0.0046511627906975,0.0,,,,,
