,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall
64,mfeat_factors,LR,feat,0.0,0.0,0.0,0.0,0.0
65,mfeat_factors,LR,feat,0.0025000000000000577,0.004762552245203944,0.0009197378553551516,-0.0005792317703557925,0.004762552245203944
66,spambase,LR,feat,-0.007600434310532034,-0.009514496200025202,-0.013395467434550334,0.00020011300499100937,-0.02088772845953002
67,spambase,LR,feat,0.0,-0.001028070802789105,-0.001207931417447683,0.006196502651892977,-0.0056022408963585235
68,spambase,LR,feat,0.010857763300760048,0.013297872340425454,0.018046132971506146,0.00275462297595086,0.02659574468085102
69,spambase,LR,feat,-0.004343105320304019,-0.006603689333875784,-0.009451907150117012,0.004237228684073946,-0.016759776536312887
70,spambase,LR,feat,0.02062975027144409,0.027971629377769314,0.03703007518796997,-0.0002093364036006573,0.06128133704735372
71,spambase,LR,feat,0.0,0.0,0.0,0.0,0.0
72,Hill_Valley_with_noise,LR,feat,0.028806584362139953,0.026338983050847475,0.043201422854602156,0.015361990950226279,0.11199999999999999
73,Hill_Valley_with_noise,LR,feat,-0.004115226337448541,-0.007084745762711897,0.02470468191986186,-0.00639698465785421,0.09599999999999997
74,Hill_Valley_with_noise,LR,feat,0.004115226337448541,0.0044745762711864145,0.006520897832817285,0.0024390243902439046,0.016949152542372836
75,Hill_Valley_with_noise,LR,feat,-0.008230452674897248,-0.008196721311475474,-0.0037618734129596376,-0.004504504504504514,0.0
76,Hill_Valley_with_noise,LR,feat,0.03292181069958838,0.033227204985774195,0.05211356887865748,0.024092615769712222,0.1074380165289256
77,Hill_Valley_with_noise,LR,feat,0.028806584362139898,0.028417558596396164,0.04852542466662979,0.018660889013139448,0.12295081967213117
78,Hill_Valley_without_noise,LR,feat,-0.004115226337448652,-0.004201680672268893,-0.007727272727272805,0.0,-0.008403361344537896
79,Hill_Valley_without_noise,LR,feat,0.0,0.0,0.0,0.0,0.0
80,Hill_Valley_without_noise,LR,feat,0.0,0.0,0.0,0.0,0.0
81,Hill_Valley_without_noise,LR,feat,0.0,0.0,0.0,0.0,0.0
82,Hill_Valley_without_noise,LR,feat,0.0,0.0,0.0,0.0,0.0
83,Hill_Valley_without_noise,LR,feat,0.0,0.0,0.0,0.0,0.0
84,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
85,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
86,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
87,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
88,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
89,waveform_40,LR,feat,0.0,0.0,0.0,0.0,0.0
90,waveform_21,LR,feat,-0.05300000000000005,-0.053434527871533355,-0.056235334940040294,-0.05896489710583053,-0.053434527871533355
91,waveform_21,LR,feat,0.0,0.0,0.0,0.0,0.0
92,waveform_21,LR,feat,0.0,0.0,0.0,0.0,0.0
93,waveform_21,LR,feat,0.0,0.0,0.0,0.0,0.0
94,waveform_21,LR,feat,0.0,0.0,0.0,0.0,0.0
95,waveform_21,LR,feat,-0.03600000000000003,-0.036182385645807225,-0.04247548413645341,-0.045919088350693915,-0.036182385645807225
96,movement_libras,LR,feat,-0.20833333333333331,-0.1584126984126984,-0.17663960626203198,-0.2648290598290599,-0.1584126984126984
97,movement_libras,LR,feat,0.0,0.0,0.0,0.0,0.0
98,movement_libras,LR,feat,0.0,0.0,0.0,0.0,0.0
99,movement_libras,LR,feat,0.0,0.0,0.0,0.0,0.0
100,movement_libras,LR,feat,-0.12500000000000008,-0.09563492063492049,-0.094004448710331,-0.1393871052694583,-0.09563492063492049
101,movement_libras,LR,feat,-0.19444444444444448,-0.1544444444444445,-0.12985347985347992,-0.0783067898285289,-0.1544444444444445
102,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
103,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
104,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
105,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
106,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
107,satimage,LR,feat,0.0,0.0,0.0,0.0,0.0
108,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
109,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
110,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
111,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
112,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
113,chess,LR,feat,0.0,0.0,0.0,0.0,0.0
114,kr_vs_kp,LR,feat,0.0,0.0,0.0,0.0,0.0
115,kr_vs_kp,LR,feat,0.0,0.0,0.0,0.0,0.0
116,kr_vs_kp,LR,feat,0.0,0.0,0.0,0.0,0.0
117,kr_vs_kp,LR,feat,0.0,0.0,0.0,0.0,0.0
