,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,imputer,perc-miss
100,0.49249999999999994,0.49250000000000005,0.489575774916995,0.49176307510455747,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,True,KNN,0.05
101,0.491875,0.49187500000000006,0.48929723593200447,0.4909061586123145,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,False,KNN,0.05
102,0.489375,0.489375,0.4740122366756791,0.48898122147549955,0.46,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,True,KNN,0.05
103,0.489375,0.489375,0.47261200708957846,0.4888036637106422,0.4575,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,False,KNN,0.05
104,0.514375,0.514375,0.5102876551175224,0.5148930988593119,0.50625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,True,KNN,0.05
105,0.5125000000000001,0.5125000000000001,0.5099261142022005,0.5129165159023175,0.5075000000000001,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,False,KNN,0.05
106,0.49125,0.49125,0.4865256850044372,0.49078092033289056,0.4825,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,True,KNN,0.05
107,0.490625,0.49062500000000003,0.48559207375891916,0.49015902978562687,0.48125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,False,KNN,0.05
108,0.50375,0.50375,0.49265565543629763,0.5038670014067886,0.48249999999999993,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,True,mean,0.05
109,0.50375,0.50375,0.49265565543629763,0.5038670014067886,0.48249999999999993,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,False,mean,0.05
110,0.5175000000000001,0.5175000000000001,0.5070487286833643,0.5180952238493215,0.4975,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,True,mean,0.05
111,0.5175000000000001,0.5175000000000001,0.5070487286833643,0.5180952238493215,0.4975,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,False,mean,0.05
112,0.5025,0.5025,0.48610309962391524,0.5028624397425647,0.47125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,True,mean,0.05
113,0.5025,0.5025,0.48610309962391524,0.5028624397425647,0.47125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,False,mean,0.05
114,0.5037499999999999,0.5037499999999999,0.5010212890187244,0.5041793317894839,0.49875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,True,mean,0.05
115,0.5037499999999999,0.5037499999999999,0.5010212890187244,0.5041793317894839,0.49875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,False,mean,0.05
116,0.510625,0.510625,0.49708434214143116,0.510369705648961,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,True,mean,0.05
117,0.510625,0.510625,0.49708434214143116,0.510369705648961,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,False,mean,0.05
118,0.5,0.5,0.4912909397260783,0.5004760289681973,0.48375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,True,mean,0.05
119,0.5,0.5,0.4912909397260783,0.5004760289681973,0.48375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,False,mean,0.05
120,0.50375,0.50375,0.49138508824944876,0.5038433804524348,0.48,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,True,median,0.05
121,0.503125,0.503125,0.49107687131719097,0.5031958191407787,0.48,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,False,median,0.05
122,0.51625,0.51625,0.5050845554575063,0.516766654710005,0.495,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,True,median,0.05
123,0.516875,0.516875,0.506105832053251,0.5174809404242908,0.49624999999999997,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,False,median,0.05
124,0.501875,0.501875,0.48591259688820665,0.502462993917592,0.47125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,True,median,0.05
125,0.50125,0.50125,0.4855939855939856,0.5017059455361093,0.47125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,False,median,0.05
126,0.50625,0.50625,0.5041573177768431,0.5066712397935714,0.5025000000000001,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,True,median,0.05
127,0.504375,0.504375,0.5019386949114855,0.5047609804593919,0.5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,False,median,0.05
128,0.51125,0.51125,0.4973857605811475,0.511059640713896,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,True,median,0.05
129,0.51125,0.51125,0.4973857605811475,0.511059640713896,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,False,median,0.05
130,0.49875,0.49875,0.4911354044641747,0.4990991463259521,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,True,median,0.05
131,0.5,0.5,0.49236446311651316,0.5004601840736295,0.48624999999999996,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,False,median,0.05
132,0.503125,0.503125,0.490226151031532,0.5031828258874432,0.47875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,True,KNN,0.05
133,0.503125,0.503125,0.49039076570212486,0.5033944842554307,0.47875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,NB,False,KNN,0.05
134,0.521875,0.521875,0.5118571873297618,0.5227651257272197,0.5025,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,True,KNN,0.05
135,0.52125,0.52125,0.5109290838107524,0.5220699031360796,0.50125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,NB,False,KNN,0.05
136,0.503125,0.503125,0.48765838323436445,0.5033108532334538,0.47375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,True,KNN,0.05
137,0.501875,0.501875,0.48517915266475353,0.5021726639373698,0.47,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,NB,False,KNN,0.05
138,0.506875,0.506875,0.5031919604126746,0.5071374915716582,0.5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,True,KNN,0.05
139,0.50875,0.50875,0.5067613231411678,0.5092501666969753,0.5050000000000001,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,NB,False,KNN,0.05
140,0.5137499999999999,0.5137499999999999,0.5000088995287049,0.5137317592151602,0.48750000000000004,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,True,KNN,0.05
141,0.511875,0.511875,0.4990618942095899,0.5117136355483813,0.48750000000000004,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,NB,False,KNN,0.05
142,0.5025,0.5025,0.49364358481494686,0.5027849179878408,0.48625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,True,KNN,0.05
143,0.5037499999999999,0.5037499999999999,0.4955035083980125,0.5041336204192276,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,NB,False,KNN,0.05
144,0.495625,0.495625,0.49370764361395086,0.4957431788996294,0.4925,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,DT,True,mean,0.05
145,0.495625,0.495625,0.49370764361395086,0.4957431788996294,0.4925,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,DT,False,mean,0.05
146,0.49000000000000005,0.49000000000000005,0.475676197557069,0.4897325558345448,0.4625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,DT,True,mean,0.05
